vehicle_slug,vehicle_name,wiki_image_url,wiki_url,checked_at,status,error
fr_amc_34,AMC.34 YR,https://static.encyclopedia.warthunder.com/images/fr_amc_34.png,https://wiki.warthunder.com/unit/fr_amc_34,2026-07-02T18:33:25.274857+00:00,ok,
fr_amc_35,AMC.35 (ACG.1),https://static.encyclopedia.warthunder.com/images/fr_amc_35.png,https://wiki.warthunder.com/unit/fr_amc_35,2026-07-02T18:33:27.424569+00:00,ok,
fr_amd_35,AMD.35,https://static.encyclopedia.warthunder.com/images/fr_amd_35.png,https://wiki.warthunder.com/unit/fr_amd_35,2026-07-02T18:33:30.318448+00:00,ok,
fr_amd_35_kwk39,AMD.35 (PaK),https://static.encyclopedia.warthunder.com/images/fr_amd_35_kwk39.png,https://wiki.warthunder.com/unit/fr_amd_35_kwk39,2026-07-02T18:33:32.928797+00:00,ok,
fr_amd_35_sa35,AMD.35 (SA35),https://static.encyclopedia.warthunder.com/images/fr_amd_35_sa35.png,https://wiki.warthunder.com/unit/fr_amd_35_sa35,2026-07-02T18:33:35.748737+00:00,ok,
fr_aml_90,AML-90,https://static.encyclopedia.warthunder.com/images/fr_aml_90.png,https://wiki.warthunder.com/unit/fr_aml_90,2026-07-02T18:33:37.774681+00:00,ok,
fr_amr_35_zt3,AMR.35 ZT3,https://static.encyclopedia.warthunder.com/images/fr_amr_35_zt3.png,https://wiki.warthunder.com/unit/fr_amr_35_zt3,2026-07-02T18:33:39.829172+00:00,ok,
fr_amx_10m_acra,AMX-10M,https://static.encyclopedia.warthunder.com/images/fr_amx_10m_acra.png,https://wiki.warthunder.com/unit/fr_amx_10m_acra,2026-07-02T18:33:42.328763+00:00,ok,
fr_amx_10p,AMX-10P,https://static.encyclopedia.warthunder.com/images/fr_amx_10p.png,https://wiki.warthunder.com/unit/fr_amx_10p,2026-07-02T18:33:44.241282+00:00,ok,
fr_amx_10rc,AMX-10RC,https://static.encyclopedia.warthunder.com/images/fr_amx_10rc.png,https://wiki.warthunder.com/unit/fr_amx_10rc,2026-07-02T18:33:46.955351+00:00,ok,
fr_amx_13_75,AMX-13,https://static.encyclopedia.warthunder.com/images/fr_amx_13_75.png,https://wiki.warthunder.com/unit/fr_amx_13_75,2026-07-02T18:33:49.513204+00:00,ok,
fr_amx_13_75_ss11,AMX-13 (SS.11),https://static.encyclopedia.warthunder.com/images/fr_amx_13_75_ss11.png,https://wiki.warthunder.com/unit/fr_amx_13_75_ss11,2026-07-02T18:33:52.075805+00:00,ok,
fr_amx_13_90,AMX-13-90,https://static.encyclopedia.warthunder.com/images/fr_amx_13_90.png,https://wiki.warthunder.com/unit/fr_amx_13_90,2026-07-02T18:33:54.056393+00:00,ok,
fr_amx_13_chaffee,AMX-13-M24,https://static.encyclopedia.warthunder.com/images/fr_amx_13_chaffee.png,https://wiki.warthunder.com/unit/fr_amx_13_chaffee,2026-07-02T18:33:56.647627+00:00,ok,
fr_amx_13_dca_40,AMX-13 DCA 40,https://static.encyclopedia.warthunder.com/images/fr_amx_13_dca_40.png,https://wiki.warthunder.com/unit/fr_amx_13_dca_40,2026-07-02T18:33:58.894393+00:00,ok,
